Date,Open,High,Low,Close,Volumn
1/26/2010,1561.146099,1572.385227,1549.906971,1560.99,1
1/27/2010,1562.308364,1574.478548,1550.13818,1560.28,1
1/28/2010,1556.149875,1563.48211,1548.81764,1560.05,1
1/29/2010,1562.227937,1566.059418,1558.396455,1563.87,1
2/1/2010,1562.72719,1568.4263,1557.02808,1561.4,1
2/2/2010,1567.322427,1576.310712,1558.334142,1563.18,1
2/3/2010,1559.187804,1564.96084,1553.414768,1560.28,1
2/4/2010,1564.330838,1574.192039,1554.469637,1565.27,1
2/5/2010,1565.598275,1577.2836,1553.91295,1568.5,1
2/8/2010,1565.351935,1579.9931,1550.71077,1565.9,1
2/9/2010,1562.422961,1567.502613,1557.343308,1562.97,1
2/10/2010,1558.548338,1566.266625,1550.83005,1559.25,1
2/11/2010,1560.16897,1567.880624,1552.457315,1557.91,1
2/12/2010,1563.930945,1574.931906,1552.929984,1560.42,1
2/16/2010,1557.006109,1566.929317,1547.0829,1562.71,1
2/17/2010,1558.809605,1564.497838,1553.121372,1558.42,1
2/18/2010,1553.03326,1559.02232,1547.0442,1555.6,1
2/19/2010,1559.992641,1564.272136,1555.713146,1556.18,1
2/22/2010,1558.042968,1560.379098,1555.706838,1557.42,1
2/23/2010,1562.848185,1571.135424,1554.560946,1563.63,1
2/24/2010,1567.96776,1574.924,1561.01152,1563.2,1
2/25/2010,1560.175911,1568.475552,1551.87627,1565.97,1
2/26/2010,1570.808797,1584.308303,1557.309291,1569.71,1
3/1/2010,1565.840265,1573.059735,1558.620795,1569.45,1
3/2/2010,1569.54913,1574.810539,1564.28772,1570.57,1
3/3/2010,1569.406262,1578.517018,1560.295506,1570.82,1
3/4/2010,1572.841683,1575.278004,1570.405362,1571.82,1
3/5/2010,1566.341106,1575.751386,1556.930826,1568.38,1
3/8/2010,1566.593348,1572.1606,1561.026096,1568.24,1
3/9/2010,1569.166484,1576.938132,1561.394835,1570.03,1
3/10/2010,1571.323328,1580.112192,1562.534464,1569.44,1
3/11/2010,1565.013372,1571.920844,1558.1059,1569.88,1
3/12/2010,1569.743298,1574.690215,1564.79638,1570.45,1
3/15/2010,1569.210026,1573.138551,1565.281501,1571.41,1
3/16/2010,1570.162248,1579.846345,1560.47815,1574.65,1
3/17/2010,1577.767114,1586.511916,1569.022312,1575.64,1
3/18/2010,1567.96101,1576.14633,1559.77569,1574.1,1
3/19/2010,1567.734714,1577.410632,1558.058796,1573.32,1
3/22/2010,1576.536837,1581.575205,1571.498469,1574.49,1
3/23/2010,1571.471865,1579.26663,1563.6771,1574.7,1
3/24/2010,1567.081673,1574.680119,1559.483226,1566.69,1
3/25/2010,1562.414784,1574.919104,1549.910464,1563.04,1
3/26/2010,1571.493011,1577.365848,1565.620173,1566.09,1
3/29/2010,1567.213215,1580.841156,1553.585274,1566.43,1
3/30/2010,1563.086645,1573.654917,1552.518372,1565.67,1
3/31/2010,1567.152888,1570.602004,1563.703772,1567.78,1
4/1/2010,1562.968429,1566.725941,1559.210917,1565.63,1
4/2/2010,1565.402069,1574.528186,1556.275952,1560.02,1
4/5/2010,1560.834699,1569.164756,1552.504642,1557.02,1
4/6/2010,1554.298489,1563.263946,1545.333031,1559.21,1
4/7/2010,1570.654983,1578.40995,1562.900016,1566.66,1
4/8/2010,1571.982653,1580.826767,1563.138538,1565.33,1
4/9/2010,1568.641237,1571.225747,1566.056726,1566.37,1
4/12/2010,1571.639882,1585.22981,1558.049953,1571.09,1
4/13/2010,1571.449502,1581.517854,1561.38115,1573.18,1
4/14/2010,1574.559896,1578.64395,1570.475842,1570.79,1
4/15/2010,1572.743088,1583.67092,1561.815255,1572.35,1
4/16/2010,1573.142832,1581.977168,1564.308496,1577.56,1
4/19/2010,1579.701942,1585.84374,1573.560144,1574.82,1
4/20/2010,1571.348633,1578.2001,1564.497165,1575.05,1
4/21/2010,1579.96296,1591.17173,1568.75419,1578.7,1
